time,latitude,longitude,mag,country
2021-11-28,-4.4528,-76.8109,7.5,Peru
2021-10-02,-21.1265,174.8958,7.3,Vanuatu
2021-09-08,16.9465,-99.753,7.0,Mexico
2021-08-14,18.4335,-73.4822,7.2,Haiti
2021-08-11,6.4748,126.7151,7.1,Philippines
2021-07-29,55.3635,-157.8876,8.2,USA
2021-05-21,34.5983,98.2513,7.3,China
2021-03-20,38.4515,141.6477,7.0,Japan
2021-03-04,-29.7228,-177.2794,8.1,New Zealand
2021-03-04,-29.6768,-177.8398,7.4,New Zealand
2021-03-04,-37.4787,179.4576,7.3,New Zealand
2021-02-13,37.7265,141.7751,7.1,Japan
2021-01-21,4.9931,127.5145,7.0,Philippines
2020-10-30,37.8973,26.7838,7.0,Greece
2020-10-19,54.602,-159.6258,7.6,USA
2020-07-22,55.0715,-158.596,7.8,USA
2020-07-17,-7.836,147.7704,7.0,Guinea
2020-06-23,15.8861,-96.0077,7.4,Mexico
2020-03-25,48.9638,157.6955,7.5,Russia
2020-02-13,45.6161,148.959,7.0,Russia
2020-01-28,19.4193,-78.756,7.7,Jamaica
2019-11-14,1.6213,126.4156,7.1,Indonesia
2019-07-14,-0.5858,128.034,7.2,Indonesia
2019-06-15,-30.6441,-178.0995,7.3,New Zealand
2019-05-26,-5.8119,-75.2697,8.0,Peru
2019-05-14,-4.051,152.5967,7.6,Guinea
2019-05-06,-6.9746,146.4494,7.1,Guinea
2019-03-01,-14.7131,-70.1546,7.0,Peru
2019-02-22,-2.1862,-77.0505,7.5,Ecuador
2018-12-29,5.8983,126.9209,7.0,Philippines
2018-12-20,55.0999,164.6993,7.3,Russia
2018-12-05,-21.9496,169.4266,7.5,New Caledonia
2018-11-30,61.3464,-149.9552,7.1,USA
2018-10-10,-5.7012,151.2046,7.0,Guinea
2018-09-28,-0.2559,119.8462,7.5,Indonesia
2018-09-06,-18.4743,179.3502,7.9,Fiji
2018-08-29,-22.0295,170.1262,7.1,New Caledonia
2018-08-24,-11.0355,-70.8284,7.1,Peru
2018-08-21,10.7731,-62.9019,7.3,Venezuela
2018-08-19,-18.1125,-178.153,8.2,Fiji
2018-02-25,-6.0699,142.7536,7.5,Guinea
2018-02-16,16.3855,-97.9787,7.2,Mexico
2018-01-23,56.0039,-149.1658,7.9,USA
2018-01-14,-15.7675,-74.7092,7.1,Peru
2018-01-10,17.4825,-83.52,7.5,Honduras
2017-11-19,-21.3246,168.6715,7.0,New Caledonia
2017-11-12,34.9109,45.9592,7.3,Iraq
2017-09-19,18.5499,-98.4887,7.1,Mexico
2017-09-08,15.0222,-93.8993,8.2,Mexico
2017-07-17,54.4434,168.857,7.7,Russia
2017-01-22,-6.2464,155.1718,7.9,Guinea
2017-01-10,4.4782,122.6171,7.3,Philippines
2016-12-25,-43.4064,-73.9413,7.6,Chile
2016-12-17,-4.5049,153.5216,7.9,Guinea
2016-12-08,-10.6812,161.3273,7.8,Solomon Islands
2016-11-13,-42.7373,173.054,7.8,New Zealand
2016-09-01,-37.3586,179.1461,7.0,New Zealand
2016-08-19,-55.2852,-31.8766,7.4,Georgia
2016-07-29,18.5429,145.5073,7.7,Northern Mariana Islands
2016-04-28,-16.0429,167.3786,7.0,Vanuatu
2016-04-16,0.3819,-79.9218,7.8,Ecuador
2016-04-15,32.7906,130.7543,7.0,Japan
2016-03-02,-4.9521,94.3299,7.8,Indonesia
2016-01-30,53.9776,158.5463,7.2,Russia
2016-01-24,59.6204,-153.3392,7.1,USA
2015-12-07,38.2107,72.7797,7.2,Tajikistan
2015-12-04,-47.6165,85.0913,7.1,India
2015-11-24,-10.0598,-71.0184,7.6,Peru
2015-11-24,-10.5372,-70.9437,7.6,Peru
2015-10-26,36.5244,70.3676,7.5,Afghanistan
2015-10-20,-14.8595,167.3028,7.1,Vanuatu
2015-09-16,-31.5622,-71.4262,7.0,Chile
2015-09-16,-31.5729,-71.6744,8.3,Chile
2015-07-27,-2.6286,138.5277,7.0,Indonesia
2015-07-18,-10.4012,165.1409,7.0,Solomon Islands
2015-05-30,27.8386,140.4931,7.8,Japan
2015-05-12,27.8087,86.0655,7.3,Nepal
2015-05-07,-7.2175,154.5567,7.1,Guinea
2015-05-05,-5.4624,151.8751,7.5,Guinea
2015-04-25,28.2305,84.7314,7.8,Nepal
2015-03-29,-4.7294,152.5623,7.5,Guinea
2015-02-27,-7.2968,122.5348,7.0,Indonesia
2014-11-15,1.8929,126.5217,7.1,Indonesia
2014-11-01,-19.6903,-177.7587,7.1,Fiji
2014-10-14,12.5262,-88.1225,7.3,El Salvador
2014-06-23,51.8486,178.7352,7.9,USA
2014-04-19,-6.7547,155.0241,7.5,Guinea
2014-04-18,17.397,-100.9723,7.2,Mexico
2014-04-13,-11.4633,162.0511,7.4,Solomon Islands
2014-04-12,-11.2701,162.1481,7.6,Solomon Islands
2014-04-11,-6.5858,155.0485,7.1,Guinea
2014-04-03,-20.5709,-70.4931,7.7,Chile
